Total Defense
Through Games 12/05/2015
  Rank Name                           G W-L               Plays         YDS    Yds/Play     Off TDs     Opp TDs         YPG 
    91 Wyoming                       12 2-10                791        5065        6.40          51          53       422.1 
    92 La.-Monroe                    13 2-11                979        5496        5.61          56          61       422.8 
    93 Washington St.                12 8-4                 876        5074        5.79          35          43       422.8 
    94 UTEP                          12 5-7                 753        5133        6.82          45          51       427.8 
    95 Oklahoma St.                  12 10-2                932        5154        5.53          41          45       429.5 
    96 South Carolina                12 3-9                 856        5158        6.03          41          42       429.8 
    97 New Mexico                    12 7-5                 876        5186        5.92          39          39       432.2 
    98 Old Dominion                  12 5-7                 926        5247        5.67          52          54       437.3 
    99 Syracuse                      12 4-8                 847        5262        6.21          42          46       438.5 
   100 Kansas St.                    12 6-6                 874        5310        6.08          44          46       442.5 
   101 UTSA                          12 3-9                 893        5329        5.97          43          50       444.1 
   102 Arizona St.                   12 6-6                 882        5353        6.07          46          50       446.1 
   103 Fresno St.                    12 3-9                 894        5354        5.99          52          63       446.2 
   104 Rice                          12 5-7                 753        5369        7.13          57          59       447.4 
   105 Massachusetts                 12 3-9                 947        5374        5.67          44          45       447.8 
   106 Hawaii                        13 3-10               1050        5834        5.56          56          59       448.8 
   107 Texas                         12 5-7                 965        5431        5.63          45          46       452.6 
   108 Iowa St.                      12 3-9                 883        5441        6.16          49          51       453.4 
   109 California                    12 7-5                 899        5464        6.08          40          43       455.3 
   110 UNLV                          12 3-9                 881        5487        6.23          51          53       457.3 
   111 Purdue                        12 2-10                897        5500        6.13          52          57       458.3 
   112 Rutgers                       12 4-8                 809        5544        6.85          55          55       462.0 
   113 Arizona                       12 6-6                 933        5560        5.96          53          55       463.3 
   114 UCF                           12 0-12                851        5569        6.54          55          57       464.1 
   115 Oregon                        12 9-3                 952        5764        6.05          54          57       480.3 
   116 Oregon St.                    12 2-10                897        5778        6.44          54          57       481.5 
   117 Idaho                         12 4-8                 839        5852        6.97          61          66       487.7 
   118 SMU                           12 2-10                853        6026        7.06          71          75       502.2 
   119 North Texas                   12 1-11                904        6031        6.67          62          66       502.6 
   120 Indiana                       12 6-6                 952        6087        6.39          58          60       507.3 
   121 Ball St.                      12 3-9                 920        6216        6.76          55          56       518.0 
   122 Eastern Mich.                 12 1-11                888        6231        7.02          66          68       519.3 
   123 Texas St.                     12 3-9                 893        6262        7.01          59          62       521.8 
   124 New Mexico St.                12 3-9                 923        6267        6.79          65          71       522.3 
   125 Tulsa                         12 6-6                 978        6378        6.52          58          59       531.5 
   126 Texas Tech                    12 7-5                 969        6482        6.69          66          69       540.2 
   127 Kansas                        12 0-12                967        6730        6.96          66          72       560.8 
Reclassifying
    NR Charlotte                     12 2-10                907        5028        5.54          48          55       419.0 
