Passing Offense
Through Games 12/05/2015
  Rank Name                           G W-L            Pass Att    Pass Com         Int    Pass Yds     Yds/Att    Yds/Comp     Pass TD         YPG 
   101 Wyoming                       12 2-10                308         183          11        2247        7.30       12.28          20       187.3 
   102 UCF                           12 0-12                425         211          23        2246        5.28       10.64          13       187.2 
   103 Georgia                       12 9-3                 304         187           8        2245        7.38       12.01          12       187.1 
   104 Ohio St.                      12 11-1                294         185           8        2244        7.63       12.13          18       187.0 
   105 South Fla.                    12 8-4                 267         164           9        2229        8.35       13.59          24       185.8 
   106 Fresno St.                    12 3-9                 403         202          16        2140        5.31       10.59          20       178.3 
   107 Kansas St.                    12 6-6                 320         150          12        2125        6.64       14.17          13       177.1 
   108 Auburn                        12 6-6                 290         169           9        2107        7.27       12.47          10       175.6 
   109 Maryland                      12 3-9                 388         183          29        2092        5.39       11.43          15       174.3 
   110 LSU                           11 8-3                 255         135           5        1904        7.47       14.10          12       173.1 
   111 Nevada                        12 6-6                 318         180           7        2065        6.49       11.47          15       172.1 
   112 Vanderbilt                    12 4-8                 376         192          16        2062        5.48       10.74          11       171.8 
   113 Missouri                      12 5-7                 373         186          12        1986        5.32       10.68          10       165.5 
   114 North Texas                   12 1-11                407         190          11        1937        4.76       10.19          12       161.4 
   115 Oregon St.                    12 2-10                343         161          11        1909        5.57       11.86          10       159.1 
   116 Syracuse                      12 4-8                 306         164           9        1881        6.15       11.47          19       156.8 
   117 Texas                         12 5-7                 252         139           6        1751        6.95       12.60           9       145.9 
   118 San Diego St.                 13 10-3                240         132           3        1859        7.75       14.08          15       143.0 
   119 Northwestern                  12 10-2                319         160           9        1672        5.24       10.45           8       139.3 
   120 Kent St.                      12 3-9                 343         175          10        1657        4.83        9.47           9       138.1 
   121 New Mexico                    12 7-5                 208         108          11        1579        7.59       14.62           5       131.6 
   122 Air Force                     13 8-5                 155          80          11        1698       10.95       21.23          13       130.6 
   123 Georgia Tech                  12 3-9                 192          81          10        1462        7.61       18.05          14       121.8 
   124 Boston College                12 3-9                 249         111           9        1334        5.36       12.02           8       111.2 
   125 Navy                          11 9-2                  90          48           2         994       11.04       20.71           7        90.4 
   126 Army West Point               11 2-9                  90          40           7         920       10.22       23.00           9        83.6 
   127 Ga. Southern                  12 8-4                 129          55          10         742        5.75       13.49           3        61.8 
Reclassifying
    NR Charlotte                     12 2-10                375         196          23        2089        5.57       10.66          12       174.1 
